clause_id,model,win_share
62,checkpoints/llama3.1-8b-full-prism,0.17785714285714285
62,checkpoints/llama3.1-8b-hard-panel,0.17523809523809525
62,checkpoints/llama3.1-8b-soft-panel,0.17047619047619048
62,checkpoints/llama3.1-8b-us-rep,0.08880952380952381
62,meta-llama/Llama-3.1-8B,0.058095238095238096
63,checkpoints/llama3.1-8b-adversary-hard,0.15071428571428572
63,checkpoints/llama3.1-8b-adversary-soft,0.13380952380952382
63,checkpoints/llama3.1-8b-full-prism,0.15595238095238095
63,checkpoints/llama3.1-8b-hard-panel,0.16071428571428573
63,checkpoints/llama3.1-8b-soft-panel,0.17642857142857143
63,checkpoints/llama3.1-8b-us-rep,0.1376190476190476
63,meta-llama/Llama-3.1-8B,0.08476190476190476
64,checkpoints/llama3.1-8b-adversary-hard,0.19023809523809523
64,checkpoints/llama3.1-8b-adversary-soft,0.08428571428571428
64,checkpoints/llama3.1-8b-full-prism,0.07357142857142857
64,checkpoints/llama3.1-8b-hard-panel,0.19285714285714287
